ItemId,SortType,ItemName
4000009,4,刻晴名片
4000010,4,七七名片
4000011,4,钟离名片
4000012,4,达达里亚名片
4000013,4,阿贝多名片
4000014,4,甘雨名片
4000015,4,神里绫华名片
4000016,4,胡桃名片
4000017,4,雷电将军名片
4000018,4,优菈名片
4000019,4,霄宫名片
4000020,4,枫原万叶名片
4000021,4,珊瑚宫心海名片
4000022,4,埃洛伊名片
4000023,4,北斗名片
4000024,4,安柏名片
4000025,4,丽莎名片
4000026,4,凯亚名片
4000027,4,芭芭拉名片
4000028,4,雷泽名片
4000029,4,行秋名片
4000030,4,菲谢尔名片
4000031,4,诺艾尔名片
4000032,4,班尼特名片
4000033,4,重云名片
4000034,4,香菱名片
4000035,4,凝光名片
4000036,4,砂糖名片
4000037,4,迪奥娜名片
4000038,4,辛焱名片
4000039,4,罗莎莉亚名片
4000040,4,烟绯名片
4000041,4,早柚名片
4000042,4,九条裟罗名片
4000043,4,托马名片
4000044,4,荒泷一斗名片
4000045,4,五郎名片
4000046,4,申鹤名片
4000047,4,云堇名片
4000048,4,八重神子名片
5000001,5,旅行者妹妹命星
5000002,5,旅行者哥哥命星
5000003,5,琴命星
5000004,5,迪卢克命星
5000005,5,温迪命星
5000006,5,可莉命星
5000007,5,魈命星
5000008,5,莫娜命星
5000009,5,刻晴命星
5000010,5,七七命星
5000011,5,钟离命星
5000012,5,达达里亚命星
5000013,5,阿贝多命星
5000014,5,甘雨命星
5000015,5,神里绫华命星
5000016,5,胡桃命星
5000017,5,雷电将军命星
5000018,5,优菈命星
5000019,5,霄宫命星
5000020,5,枫原万叶命星
5000021,5,珊瑚宫心海命星
5000022,5,埃洛伊命星
5000023,5,北斗命星
5000024,5,安柏命星
5000025,5,丽莎命星
5000026,5,凯亚命星
5000027,5,芭芭拉命星
5000028,5,雷泽命星
5000029,5,行秋命星
5000030,5,菲谢尔命星
5000031,5,诺艾尔命星
5000032,5,班尼特命星
5000033,5,重云命星
5000034,5,香菱命星
5000035,5,凝光命星
5000036,5,砂糖命星
5000037,5,迪奥娜命星
5000038,5,辛焱命星
5000039,5,罗莎莉亚命星
5000040,5,烟绯命星
5000041,5,早柚命星
5000042,5,九条裟罗命星
5000043,5,托马命星
5000044,5,荒泷一斗命星
5000045,5,五郎命星
5000046,5,申鹤命星
5000047,5,云堇命星
5000048,5,八重神子命星
6000001,6,以理服人
6000002,6,衔珠海皇
6000003,6,天空之傲
7000001,7,魔女的炎之花
7000002,7,魔女的常燃之羽
7000003,7,魔女的破灭之时
7000004,7,魔女的心之火
7000005,7,焦灼的魔女帽
8000001,8,蒙德烤鱼食谱
8000002,8,中原杂碎食谱
8000003,8,仙跳墙食谱
9000001,9,蒙德烤鱼
9000002,9,中原杂碎
9000003,9,仙跳墙
10000011,10,奇怪的蒙德烤鱼
10000012,10,蒙德烤鱼
10000013,10,美味的蒙德烤鱼
10000021,10,奇怪的中原杂碎
10000022,10,中原杂碎
10000023,10,美味的中原杂碎
10000031,10,奇怪的仙跳墙
10000032,10,仙跳墙
10000033,10,美味的仙跳墙
11000001,11,丘丘领袖大殿
11000002,11,野林猪
11000003,11,纯净灵魂旗
